Song Name,Artists,Released Dates,Popularity,Duration,Album Type,valence,energy,danceability,acousticness,mood,Spotify URL,Cover Image
Gallan Ch Romance,Kay Vee Singh,2021-04-01,25,178039,single,0.57,0.41,0.4,0.32,Romantic / Warm,https://open.spotify.com/search/Gallan%20Ch%20Romance%20Kay%20Vee%20Singh,https://i.scdn.co/image/ab67616d0000b273d4d18e94bab80131fa660232
Dreams,Akaal,2020-10-09,28,173437,single,0.48,0.4,0.57,0.29,Melancholic / Heartbroken,https://open.spotify.com/search/Dreams%20Akaal,https://i.scdn.co/image/ab67616d0000b273c365980e2761468acadadeb0
Moments of Love Mashup - Valentine’s 2019,Atif Aslam,2019-02-14,29,196997,single,0.64,0.56,0.61,0.21,Happy / Upbeat,https://open.spotify.com/search/Moments%20of%20Love%20Mashup%20-%20Valentine%E2%80%99s%202019%20Atif%20Aslam,https://i.scdn.co/image/ab67616d0000b2732b295e00c92e9f4f827f4e52
Pyar Ki Kashti Mein - Lofi,Alka Yagnik,2022-09-15,26,249004,album,0.5,0.51,0.46,0.36,Energetic / Party,https://open.spotify.com/search/Pyar%20Ki%20Kashti%20Mein%20-%20Lofi%20Alka%20Yagnik,https://i.scdn.co/image/ab67616d0000b273a2510c37bba7157460305ded
Mera Rabb,Shahid Mallya,2019-12-20,13,318772,compilation,0.5,0.35,0.52,0.28,Mellow / Reflective,https://open.spotify.com/search/Mera%20Rabb%20Shahid%20Mallya,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Rab Varga Si Tera Yaar,Durga Rangila,2015-04-09,29,308798,compilation,0.42,0.43,0.47,0.33,Melancholic / Heartbroken,https://open.spotify.com/search/Rab%20Varga%20Si%20Tera%20Yaar%20Durga%20Rangila,https://i.scdn.co/image/ab67616d0000b2732219d873cbc5d7ae3f10a583
Life Remix,Akhil,2018-01-02,28,159216,single,0.54,0.51,0.63,0.18,Energetic / Party,https://open.spotify.com/search/Life%20Remix%20Akhil,https://i.scdn.co/image/ab67616d0000b273e3a93afb0e93d10b4832a8a8
Khaab,Akhil,2016-12-25,25,201689,compilation,0.48,0.42,0.45,0.41,Melancholic / Heartbroken,https://open.spotify.com/search/Khaab%20Akhil,https://i.scdn.co/image/ab67616d0000b273526e3cf9d0e9956d287c7f01
Best Love,SK Kundesh Shah,2022-04-01,11,230684,single,0.64,0.35,0.45,0.42,Romantic / Warm,https://open.spotify.com/search/Best%20Love%20SK%20Kundesh%20Shah,https://i.scdn.co/image/ab67616d0000b2734de8e1a5407a30217c321d64
Pyaar Manga Hai,Armaan Malik,2017-07-20,27,286152,compilation,0.5,0.35,0.48,0.29,Mellow / Reflective,https://open.spotify.com/search/Pyaar%20Manga%20Hai%20Armaan%20Malik,https://i.scdn.co/image/ab67616d0000b2733f334dbf565ef4b341d36fd4
Mittha Lara,Ekam Sudhar,2019-12-20,10,200646,compilation,0.44,0.36,0.46,0.3,Melancholic / Heartbroken,https://open.spotify.com/search/Mittha%20Lara%20Ekam%20Sudhar,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
